Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Jacob Misiorowski","MIL",8,3,0,15,15,93,13.35483870967742,2.225806451612903,0.3870967741935484,0.23756906077348067,0.82633053,0.456521739,0.063492063,100.26970615671642,1.4516129032258065,2.0372969183220704,1.6630823699376918,2.1159014455733764,4.23607063293457,"Jacob Misiorowski",31623,694819
"Cristopher Sánchez","PHI",9,3,0,16,16,105,10.371428571428572,1.7142857142857142,0.6,0.31636363636363635,0.8460076,0.572953736,0.093333333,,1.8,2.960173936948388,2.265847346896217,2.466212131863549,3.806499719619751,"Cristopher Sanchez",20778,650911
"Cam Schlittler","NYY",8,3,0,16,16,95,10.326315789473684,1.7052631578947368,0.47368421052631576,0.26382978723404255,0.825,0.427966101,0.055555555,97.84786987304688,1.7052631578947368,2.775215289299349,2.1249952165704027,2.856005352421811,3.586162805557251,"Cam Schlittler",32095,693645
"Reid Detmers","LAA",3,5,0,16,16,94,9.957446808510639,2.6808510638297873,0.6702127659574468,0.26359832635983266,0.62906725,0.368852459,0.064814814,94.2805472263868,3.925531914893617,2.926901655954899,2.8805383296723064,3.6287846646410356,2.9014744758605957,"Reid Detmers",27468,672282
"Paul Skenes","PIT",6,7,0,16,16,88,10.943181818181818,1.8409090909090908,0.9204545454545454,0.2619047619047619,0.71618037,0.437209302,0.104651162,97.12755059257603,2.8636363636363638,2.6055224351546435,2.819851675900546,2.95019925290888,2.570150136947632,"Paul Skenes",33677,694973
"Joe Ryan","MIN",5,3,0,16,16,87.1,10.202290670513745,1.8549619400934083,0.8244275289304037,0.2747747747747748,0.71782178,0.368421052,0.076190476,93.67070069119937,2.988549792372713,3.10912402475635,2.817683026335065,3.422877222537828,2.564995288848877,"Joe Ryan",21390,657746
"Davis Martin","CHW",9,3,0,15,15,87.2,8.931559194457753,2.3612167985348083,0.615969599617776,0.31932773109243695,0.77534791,0.431535269,0.075949367,94.22448424442896,3.182509598025176,3.9459082521867495,2.932839918430962,3.389269725025805,2.563330888748169,"Davis Martin",21448,663436
"Chase Burns","CIN",9,1,0,15,15,85.2,10.715953625510654,3.0466926974491075,1.0505836887755542,0.2562814070351759,0.93421053,0.383495145,0.11235955,97.98789612676056,1.9961090086735531,2.912528131084147,3.2556935622590353,3.2901540948804424,2.5451626777648926,"Chase Burns",35333,695505
"Braxton Ashcraft","PIT",6,3,0,15,15,90.2,9.628676740665345,2.1838235906663668,0.7941176693332243,0.2966101694915254,0.73839662,0.462809917,0.093023255,97.21821347891566,3.176470677332897,2.9954559533376415,3.03776611254702,3.3076622978019636,2.4919137954711914,"Braxton Ashcraft",23793,677952
"Parker Messick","CLE",7,4,0,16,16,94.1,9.636042922382849,2.766784601476264,0.8586572901133233,0.2629310344827586,0.80091533,0.436440677,0.103448275,93.93972845539648,2.671378235908117,3.232443234383593,3.1569461214182035,3.2943782575458043,2.450435161590576,"Parker Messick",31986,800048
