Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",31,10,0,62,62,387.1,10.897590504547361,1.5800344441561207,0.7667814214287056,0.27262813522355506,0.80301129,0.433722163,0.094285714,97.33024729330708,2.300344264286117,2.697808432158041,2.471671449776617,2.744110631010333,12.597940921783447,"Tarik Skubal",22267,669373
"Cristopher Sánchez","PHI",24,14,0,63,63,383.2,8.562120122758618,2.064291974802078,0.539530857050543,0.30583873957367935,0.75458052,0.578368469,0.092741935,,2.8853171920529044,3.292503657359399,2.761619527059859,2.9697249266456835,11.054605960845947,"Cristopher Sanchez",20778,650911
"Paul Skenes","PIT",21,13,0,55,55,320.2,10.833680177357257,2.0769231428094224,0.5893971080945658,0.27718832891246686,0.83740405,0.47081712,0.078358208,98.49726835664336,1.964657026981886,2.589929179492024,2.3965770853939814,2.825032704887479,10.769967079162598,"Paul Skenes",33677,694973
"Garrett Crochet","- - -",24,17,0,64,64,351.1,11.88614817966625,2.0237191943828314,1.0759013438491003,0.3014705882352941,0.79696395,0.469964664,0.142372881,96.93690525444767,2.9971537435796365,2.867802529339285,2.8037591175046455,2.533635966419886,10.405613422393799,"Garrett Crochet",27463,676979
"Chris Sale","ATL",25,8,0,50,49,303.1,11.571428983739272,2.106593481655098,0.5934066145507318,0.31320224719101125,0.80983607,0.424242424,0.076628352,94.90406255612429,2.4626374503855373,2.8118804580300663,2.3293187766014487,2.784733434264344,10.025845155119896,"Chris Sale",10603,519242
"Logan Webb","SFG",28,21,0,67,67,411.2,8.657490092474195,2.098785476963441,0.5465587179592295,0.3302047781569966,0.72972973,0.550968828,0.088652482,92.7793088426777,3.344939353910484,3.958863150293253,2.7742009923117013,3.030739038096785,9.967891216278076,"Logan Webb",17995,657277
"Zack Wheeler","PHI",26,12,0,56,56,349.2,10.784557034431423,2.1877979664121026,1.0038131845890823,0.25461254612546125,0.81053352,0.415094339,0.118541033,95.68622603569854,2.625357559694523,2.6706555474596154,3.0729876758361283,3.057071681271285,9.432492733001709,"Zack Wheeler",10310,554430
"Dylan Cease","SDP",22,23,0,65,65,357.1,11.056903142457978,3.4253731830849317,0.9822761333846496,0.28968713789107764,0.69157393,0.382716049,0.104278074,96.99312640396855,3.979477668583965,3.37601462262413,3.3140571088588393,3.4924717981829216,8.144111156463623,"Dylan Cease",18525,656302
"Max Fried","- - -",30,15,0,61,61,369.2,8.642921788783626,2.6293959244750185,0.6573489811187546,0.28075396825396826,0.7326284,0.553710937,0.099264705,94.99309485728347,3.0432823199942343,3.545102721340477,3.193200007040974,3.3691773683466977,8.143572807312012,"Max Fried",13743,608331
"Yoshinobu Yamamoto","LAD",19,10,0,48,48,263.2,10.445006724091414,2.7648547210830214,0.71681418694745,0.265625,0.77453366,0.509923664,0.102439024,95.44939104836169,2.6624526943762428,2.963266879672514,2.827251014574042,2.982093276135611,7.869662761688232,"Yoshinobu Yamamoto",33825,808967
"Hunter Brown","HOU",23,18,0,62,61,355.1,9.751407269038149,2.96341467656484,0.886491569912559,0.28475336322869954,0.79132791,0.485373781,0.120274914,96.36450391548463,2.93808634599591,3.2277230217107715,3.352758426990074,3.322995813772,7.747126895934343,"Hunter Brown",25880,686613
"Framber Valdez","HOU",28,18,0,59,59,368.1,8.69864265405498,3.005429905754951,0.6841629053751108,0.28730964467005077,0.74791564,0.59519038,0.130232558,95.58653259277344,3.2986425794871415,3.6190633640230554,3.3130373975010885,3.2172246672646327,7.6704161167144775,"Framber Valdez",17295,664285
"Ranger Suarez","PHI",24,16,0,53,53,308,8.649351077852675,2.3084416728052743,0.8181818587157935,0.3082271147161066,0.76566125,0.492571428,0.104089219,91.66060233410494,3.331168996200016,3.389214579988526,3.2868324761560213,3.440915197220479,7.472986221313477,"Ranger Suarez",17277,624133
"Sonny Gray","STL",27,17,0,60,60,347,10.478386627917843,1.9971182434397867,1.1930836259510413,0.3153759820426487,0.68865741,0.431670281,0.14375,92.13090564192048,4.072046288572032,3.7666986312581674,3.2625526409116996,2.948391639125975,7.378567934036255,"Sonny Gray",12768,543243
"Kevin Gausman","TOR",24,22,0,63,63,374,8.446524064171124,2.550802139037433,0.9866310160427807,0.2714007782101167,0.71199143,0.374881964,0.091928251,94.24782233461785,3.7058823529411766,4.235757332052433,3.588807885787067,3.9843326985397765,7.0979931354522705,"Kevin Gausman",14107,592332
"Michael Wacha","KCR",23,21,0,60,60,339.1,7.187623220724662,2.38703354193808,0.8487230371335395,0.2882882882882883,0.74826296,0.378458498,0.074766355,93.50267499534277,3.607072907817543,4.102212565977799,3.654460248248039,4.355594607625672,6.956763029098511,"Michael Wacha",14078,608379
"Cole Ragans","KCR",14,12,0,45,45,248,11.64919390675926,3.157258161645033,0.7983871213355256,0.3046471600688468,0.7218845,0.398319327,0.090534979,95.55504840353261,3.5201613986157265,3.0994503034041903,2.8723957102692643,3.2075275935652696,6.9376866817474365,"Cole Ragans",21846,666142
"Hunter Greene","CIN",16,9,0,45,45,258,10.500000310498624,2.895348922828524,0.9418604929683151,0.24040066777963273,0.81365936,0.33548387,0.089700996,98.44146080194668,2.7558140349813662,3.044226654110508,3.3898338709829337,3.807898320372536,6.5951738357543945,"Hunter Greene",22182,668881
"Logan Gilbert","SEA",15,18,0,58,58,339.2,10.413150459061956,1.801766491644308,1.218842038465267,0.25121951219512195,0.73143286,0.428238039,0.136498516,96.17303522792432,3.3120707566990952,3.0760692557963263,3.298650557701876,3.050055375244287,6.563568353652954,"Logan Gilbert",22250,669302
"George Kirby","SEA",24,19,0,56,56,317,8.97160883280757,1.476340694006309,1.0504731861198737,0.3001132502831257,0.71473751,0.423710208,0.106936416,96.13719888820259,3.804416403785489,3.584812263460889,3.302286478698442,3.4462405003254726,6.545224666595459,"George Kirby",25436,669923
"Nathan Eovaldi","TEX",23,11,0,51,51,300.2,8.830377238893268,1.885809376441613,0.9878049114694164,0.25921219822109276,0.79163555,0.491358024,0.126436781,95.23584053244005,2.903547770076769,3.510415010601514,3.3857436998629997,3.2817288687899566,6.35919976234436,"Nathan Eovaldi",9132,543135
"Joe Ryan","MIN",20,17,0,54,53,306,10.029411764705882,1.8235294117647058,1.3235294117647058,0.2664041994750656,0.75378788,0.36204744,0.119047619,93.77742210866595,3.5,3.1849848984390574,3.606480655171513,3.5833804031943575,6.261094480752945,"Joe Ryan",21390,657746
"MacKenzie Gore","WSN",15,27,0,62,62,326,10.104294951470262,3.5613498599444364,0.966257713938413,0.3329479768786127,0.71599045,0.382286995,0.103550295,95.76442860663819,4.0306750352859515,4.225753587108882,3.6357911331570083,3.823437024079523,6.113920450210571,"MacKenzie Gore",22201,669022
"Yusei Kikuchi","- - -",16,21,0,65,65,354,9.661017261473358,3.000000096983832,1.245762752137354,0.3117154811715481,0.74240159,0.411055276,0.124681933,95.30269146663954,4.01694928240208,4.078978671295073,3.845605270427062,3.7422248507807763,6.108169198036194,"Yusei Kikuchi",20633,579328
"Jesús Luzardo","- - -",18,13,0,44,44,250.1,9.850866013023591,2.8402131935359987,0.8988016435240502,0.31278890600924497,0.68592058,0.411411411,0.098814229,96.13868168969849,4.206391691692555,3.6255525407782407,3.2593289899977917,3.510196503106078,6.033126950263977,"Jesus Luzardo",19959,666200
"Freddy Peralta","MIL",28,15,0,65,65,350.1,10.378687115476877,3.442435825430449,1.2074215208599337,0.26066350710900477,0.824393,0.369614512,0.117794486,94.57251760296789,3.1855376295028037,3.618928989801464,3.898533038849252,3.893587082656509,5.8905110359191895,"Freddy Peralta",18679,642547
"Jack Flaherty","- - -",21,22,0,59,59,323,10.643962974004634,2.7027864096294487,1.3095975386864338,0.29559748427672955,0.75108628,0.380838323,0.141566265,93.23380312118748,3.9009288386404415,3.7891746342060393,3.661692486697604,3.340482457154892,5.863140225410461,"Jack Flaherty",17479,656427
"Bryan Woo","SEA",24,10,0,52,52,308,8.737013419857938,1.4318182527526386,1.168831226736848,0.23886138613861385,0.78969957,0.407142857,0.113636363,95.41627462836243,2.92207806684212,2.947180913712645,3.4396915486541726,3.498984841949931,5.847383260726929,"Bryan Woo",30279,693433
"Nick Pivetta","- - -",19,17,0,58,57,327.1,9.95315744143841,2.3645622650931033,1.3747455029611064,0.2542997542997543,0.77256318,0.335273573,0.121065375,93.94560241699219,3.436863757402766,3.7200639646228573,3.747862518306163,3.690454331486373,5.684619054198265,"Nick Pivetta",15454,601713
