Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",310,1383,111,259,258,22,0.18582791,0.239334779,0.368181818,0.371814092,0.326363636,0.457308248,0.694545454,0.4694481717695118,0.47041770132268407,212.25923957280835,-4.616819081827998,175.46729288294546,-13.408452987670898,21.4612341681934,"Aaron Judge",15640,592450
"Bobby Witt Jr.","KCR",318,1396,55,224,197,69,0.075931232,0.165472779,0.231135822,0.344129554,0.313741064,0.370343839,0.544876886,0.3853900132618407,0.3864254951477051,149.7357831372425,11.847283916547894,91.99350543705415,40.70279312133789,18.494282484084295,"Bobby Witt Jr.",25764,677951
"Shohei Ohtani","LAD",317,1458,109,280,232,79,0.1303155,0.239368998,0.338412189,0.326633165,0.295910184,0.390915347,0.634322373,0.4242436305285338,0.4345895415787623,176.00704861131666,13.407534351572394,145.36755771718478,-34.24382400512695,16.429095266161337,"Shohei Ohtani",19755,660271
"Cal Raleigh","SEA",312,1333,94,183,225,20,0.12528132,0.273068267,0.281961471,0.249639249,0.23380035,0.336834208,0.515761821,0.3589808117689156,0.3591986568168681,140.5918155948331,-5.3512143194675446,58.043157465228056,38.063232496380806,14.492115662522997,"Cal Raleigh",21534,663728
"Juan Soto","- - -",317,1428,84,248,214,45,0.179271708,0.179271708,0.271465742,0.284325637,0.275802254,0.40743338,0.547267996,0.40532647110231373,0.44623925469138404,168.4432832510492,-1.21348830871284,112.25765437668286,-22.731597661972046,14.086373413015032,"Juan Soto",20123,665742
"Francisco Lindor","NYM",312,1421,64,224,177,60,0.085151301,0.18156228,0.212361331,0.291578947,0.270206022,0.344827586,0.482567353,0.3563497221495082,0.3627564554922151,132.70083050626758,6.7283398527652025,62.071727680106235,26.061019897460938,13.938130111788384,"Francisco Lindor",12916,596019
"José Ramírez","CLE",316,1355,69,217,203,85,0.088560885,0.115129151,0.239076669,0.272272272,0.281121187,0.347376201,0.520197856,0.3619924583518207,0.33747508618034494,137.48223973855684,13.538211153820157,72.42590778595338,5.366229593753815,12.69792008219995,"Jose Ramirez",13510,608070
"Gunnar Henderson","BAL",313,1370,54,203,160,51,0.102189781,0.216058394,0.207953604,0.324480369,0.277547638,0.356934306,0.485501242,0.3615552352704463,0.358243283972276,137.63307917650405,11.273070389404893,70.70856807863916,6.179266452789307,12.667380358814796,"Gunnar Henderson",26289,683002
"Ketel Marte","ARI",262,1139,64,180,167,11,0.113257243,0.16593503,0.25101626,0.294751009,0.287601626,0.374012291,0.538617886,0.3858934975432672,0.3920360973903111,148.51495645040958,-2.4864411521703005,63.32521344251184,4.773190200328827,10.91399099321468,"Ketel Marte",13613,606466
"Elly De La Cruz","CIN",322,1395,47,207,162,104,0.097491039,0.286021505,0.194065758,0.347447073,0.261427425,0.337401292,0.455493183,0.34061007707728413,0.325719862462129,113.87274452444662,16.783695379272103,39.86252583692816,19.356273889541626,10.881038989699649,"Elly De La Cruz",26668,682829
"Corbin Carroll","ARI",301,1326,53,228,158,67,0.105580693,0.213423831,0.238508239,0.275903614,0.244579358,0.331821617,0.483087597,0.3474185302729314,0.3502052708675987,122.57571918295847,21.333589799702168,56.8645530959335,4.8005640506744385,10.875653415018382,"Corbin Carroll",25878,682998
"Jarren Duran","BOS",317,1431,37,197,159,58,0.07966457,0.229909154,0.196746708,0.336197636,0.271107668,0.33729881,0.467854376,0.34625659739962805,0.33282035961485745,121.21269543306366,15.5461430773139,50.5460781789381,5.6146979331970215,10.749358004897555,"Jarren Duran",24617,680776
"Trea Turner","PHI",262,1178,36,182,131,55,0.05942275,0.174023769,0.162705667,0.341121495,0.299817184,0.347198641,0.462522851,0.3504210454787657,0.32127291763266574,123.86873063985271,10.57037609256804,44.02528799463432,19.370100021362305,10.541686940657897,"Trea Turner",16252,607208
"Julio Rodríguez","SEA",303,1323,52,182,163,54,0.061980347,0.232804232,0.173913043,0.320973348,0.269893355,0.324263038,0.443806398,0.3314924196212149,0.3481398398110493,121.41342930036276,5.783277366310358,38.83310580407791,10.5819091796875,9.667999590095327,"Julio Rodriguez",23697,677594
"Fernando Tatis Jr.","SDP",257,1129,46,175,120,43,0.10717449,0.199291408,0.193548387,0.308011049,0.271169354,0.356953055,0.464717741,0.3553811236817569,0.3779939845977401,132.54557386508088,5.787685738876462,49.49723628376595,4.001715660095215,9.354744253837097,"Fernando Tatis Jr.",19709,665487
"Vladimir Guerrero Jr.","TOR",315,1377,53,194,187,8,0.111111111,0.137981118,0.198340249,0.327835051,0.307883817,0.38852578,0.506224066,0.38192291771917547,0.39877086670464007,150.92930291713023,-8.234642047435045,72.87471156562825,-30.251816883683205,9.164680192973108,"Vladimir Guerrero Jr.",19611,665489
