Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"NYY",162,2401,6235,274,849,820,134,0.102485966,0.234643143,0.204167428,0.289598732,0.250594041,0.332046952,0.454761469,0.33758932186926793,0.3404894112805148,118.67578183654066,-4.690718499943614,132.55153000510228,-11.904474325478077,34.28029912518023
"TOR",162,2481,6180,191,798,771,77,0.084142394,0.177831715,0.162157255,0.297982167,0.26529871,0.333387648,0.427455965,0.32997342921715445,0.3307391262742791,112.46814984627306,-5.700725799193606,85.11541924762113,21.104728063568473,32.61073939362676
"CHC",162,2330,6162,223,793,771,161,0.089905874,0.207237909,0.180891719,0.28345679,0.249499545,0.320487804,0.430391264,0.3246833898751402,0.3334701756636302,109.85381593613187,10.872698681429029,82.82257518350981,16.029625928029418,31.08141841713588
"NYM",162,2402,6178,224,766,746,147,0.091129815,0.214470702,0.178119846,0.286543802,0.249037932,0.326136363,0.427157778,0.3262957174522925,0.33916836176171106,112.41566121263315,7.77324509434402,98.67013686755799,-20.512190473731607,29.0185808000443
"LAD",162,2438,6187,244,825,791,88,0.093744949,0.218684338,0.18810436,0.289487049,0.252508666,0.327337546,0.440613026,0.33096593079445763,0.33503309453599345,112.98281947909368,-1.0519817882450297,94.08349485494354,-17.024762013927102,28.936742036280968
"MIL",162,2413,6227,166,806,750,164,0.090573309,0.203308174,0.145009074,0.304505813,0.258257713,0.332418912,0.403266787,0.32195168328647744,0.3140993487819469,106.82967255827472,14.955510061234236,65.3118622038489,3.5135440342128277,28.230478749126792
"ARI",162,2332,6210,214,791,768,121,0.087761674,0.211916264,0.181569343,0.289735924,0.251277372,0.324635332,0.432846715,0.32722720408327194,0.3257191585535369,108.71983715505877,3.601956241764128,67.70813424703545,-12.023779641836882,26.828138357666212
"PHI",162,2300,6166,212,778,753,124,0.085630879,0.216834252,0.172557549,0.302743142,0.258473808,0.327639498,0.431031357,0.32871299337196913,0.32792902691708337,109.13807346660131,7.918849437352037,74.68077203485224,-17.59057409223169,26.822253755841352
"SEA",162,2424,6199,238,766,734,161,0.087756089,0.233263429,0.175572519,0.287085062,0.244456561,0.320427668,0.42002908,0.3214371064095758,0.3212266202775466,112.55221740238771,-2.9029020788148046,88.80666931403962,-42.98545177001506,26.49802068214137
"BOS",162,2371,6206,186,786,748,139,0.083467611,0.228649693,0.167206041,0.307153576,0.254225098,0.323591151,0.421431139,0.3230218389738049,0.3185627269833951,102.89318213184275,7.989679798483849,29.105520943554133,4.42684511654079,25.26534547707032
"DET",162,2418,6093,198,758,724,61,0.083866732,0.238634498,0.166788857,0.29787234,0.246700879,0.316014468,0.413489736,0.31694299542334364,0.3206570966740728,102.6197904990941,4.438844061514828,23.252375166596153,-18.43413956835866,21.929962770471437
"HOU",162,2383,6087,182,686,655,85,0.077378018,0.213734187,0.148816029,0.294190358,0.249908925,0.315321252,0.398724954,0.31167057249587393,0.3125614518165904,99.79648608939263,-5.459070118798991,-6.9191276746867185,0.6443590633571148,20.773899817884853
"ATH",162,2367,6151,219,733,709,80,0.081612745,0.228580718,0.177573463,0.299216578,0.252929511,0.318048302,0.430502974,0.3239768372277711,0.3096105236046589,104.87058856673865,-3.0817093160003424,32.22845567340712,-40.82159124314785,20.76187301233568
"SDP",162,2476,6087,152,702,663,106,0.083785115,0.190734351,0.137536873,0.292829643,0.252396755,0.320854729,0.389933628,0.3110435923917643,0.31858690814177193,102.32762056878914,-1.1321701145398038,15.660110915816489,-20.48154786042869,20.21910329566872
"ATL",162,2349,6186,190,724,701,82,0.092951826,0.221629485,0.154502541,0.290986693,0.244916485,0.320097244,0.399419026,0.3147673247172664,0.3225606504127349,100.71450426304693,-8.403407664969563,-3.2530972221390435,-14.209566153935157,19.262617559701813
"STL",162,2315,6069,148,689,653,89,0.078760916,0.217663536,0.13362783,0.295454545,0.244984354,0.314124855,0.378612184,0.3041562273410498,0.3092727621403004,96.06330286419016,-5.678174783999566,-33.99492093315297,5.464204344898462,17.7320981928045
"SFG",162,2320,6072,173,705,672,68,0.091567852,0.227272727,0.15144186,0.28084667,0.234604651,0.311291122,0.386046511,0.30537820718657804,0.3066635108964388,97.1119629771621,-9.036903215572238,-29.877875504706125,-10.771451092790812,16.502420906508977
"MIA",162,2407,6142,154,709,677,138,0.078476066,0.203028329,0.142882915,0.294792164,0.250405917,0.314225053,0.393288832,0.3088096719716848,0.3174047262278812,95.76427928549236,0.9404417015612125,-29.893662427804788,-14.837304387241602,16.323008891248364
"TBR",162,2363,6045,182,714,680,194,0.077419354,0.231100082,0.149908593,0.302999491,0.251188299,0.31325701,0.401096892,0.3113206932864475,0.3082793897437189,98.15061621519418,13.176658522279467,-0.2307967505253785,-53.50912947952747,15.769851610204876
"MIN",162,2413,6059,191,678,643,114,0.081696649,0.226440006,0.158689249,0.282859338,0.238402061,0.310464539,0.39709131,0.3093728609759398,0.31153072147043426,96.92547046063355,-1.2376898191869259,-23.193638012219264,-31.452218860387802,15.72641975659579
"TEX",162,2395,6046,175,684,658,134,0.080383724,0.219483956,0.146977769,0.276312484,0.23424582,0.302387267,0.381223589,0.29879965729430336,0.3100562024367023,91.87498861113546,5.64102049334906,-52.323372693821405,-3.906867512501776,15.518579623825236
"KCR",162,2435,6008,159,651,638,111,0.072403462,0.182423435,0.149696189,0.280531183,0.247099981,0.308902275,0.39679617,0.30697868593551175,0.3181118943481805,92.99203955636166,-4.3126562321558595,-53.93692732217495,-6.914218278601766,14.912107802984938
"BAL",162,2364,6020,191,677,643,121,0.080398671,0.242026578,0.15915805,0.284064058,0.235044313,0.304521276,0.394202363,0.3047591680508778,0.3118091618630371,95.96873382771855,-0.10521384767707787,-29.08797993216252,-40.33903595828451,14.076908537282408
"CLE",162,2417,5943,168,643,621,129,0.083123001,0.226148409,0.147457627,0.267931392,0.225800376,0.296415285,0.373258003,0.29209047790938375,0.2918146966072457,87.05235275059458,7.654551913030446,-83.03748663039752,7.6028175838291645,13.191341397102523
"CIN",162,2396,6082,167,716,677,105,0.086649128,0.232653732,0.146292217,0.298209718,0.244676945,0.314827018,0.390969162,0.30859385375441056,0.29961730056945707,92.11692542720635,5.210867167537799,-51.613715719386335,-22.031088051386178,13.160597925369615
"WSN",162,2368,5982,161,687,657,132,0.074055499,0.225844199,0.14699373,0.291645569,0.242161563,0.304092586,0.389155293,0.3023757344533407,0.3157958555271857,92.80983073703567,-0.8567107557319105,-51.90259418583845,-63.349083992652595,8.563421314423394
"LAA",162,2380,6000,226,673,649,88,0.080666666,0.271166666,0.171938966,0.276434195,0.224972087,0.297658862,0.396911053,0.30218798315296963,0.3110962326848699,91.59862737327477,-0.0711364489980042,-59.60075592135537,-79.09739318932407,6.919238710196407
